id;root;rootN;family;modeNr;modeName;RMS;spelling;n1;n2;n3;n4;n5;n6;n7;n8;nn1;nn2;nn3;nn4;nn5;nn6;nn7;nn8;c1;c2;c3;c4;c5;c6;c7;c8
1;1;C;Modes of the Major Scale;1;Ionian;1;b;1;3;5;6;8;10;12;;C;D;E;F;G;A;B;;maj;min;min;maj;maj;min;dim;
2;2;Db;Modes of the Major Scale;1;Ionian;2;b;2;4;6;7;9;11;1;;Db;Eb;F;Gb;Ab;Bb;C;;maj;min;min;maj;maj;min;dim;
3;3;D;Modes of the Major Scale;1;Ionian;3;;3;5;7;8;10;12;2;;D;E;F#;G;A;B;C#;;maj;min;min;maj;maj;min;dim;
4;4;Eb;Modes of the Major Scale;1;Ionian;4;b;4;6;8;9;11;1;3;;Eb;F;G;Ab;Bb;C;D;;maj;min;min;maj;maj;min;dim;
5;5;E;Modes of the Major Scale;1;Ionian;5;;5;7;9;10;12;2;4;;E;F#;G#;A;B;C#;D#;;maj;min;min;maj;maj;min;dim;
6;6;F;Modes of the Major Scale;1;Ionian;6;b;6;8;10;11;1;3;5;;F;G;A;Bb;C;D;E;;maj;min;min;maj;maj;min;dim;
7;7;F#;Modes of the Major Scale;1;Ionian;7;;7;9;11;12;2;4;6;;F#;G#;A#;B;C#;D#;F;;maj;min;min;maj;maj;min;dim;
8;8;G;Modes of the Major Scale;1;Ionian;8;;8;10;12;1;3;5;7;;G;A;B;C;D;E;F#;;maj;min;min;maj;maj;min;dim;
9;9;Ab;Modes of the Major Scale;1;Ionian;9;b;9;11;1;2;4;6;8;;Ab;Bb;C;Db;Eb;F;G;;maj;min;min;maj;maj;min;dim;
10;10;A;Modes of the Major Scale;1;Ionian;10;;10;12;2;3;5;7;9;;A;B;C#;D;E;F#;G#;;maj;min;min;maj;maj;min;dim;
11;11;Bb;Modes of the Major Scale;1;Ionian;11;b;11;1;3;4;6;8;10;;Bb;C;D;Eb;F;G;A;;maj;min;min;maj;maj;min;dim;
12;12;B;Modes of the Major Scale;1;Ionian;12;;12;2;4;5;7;9;11;;B;C#;D#;E;F#;G#;A#;;maj;min;min;maj;maj;min;dim;
13;1;C;Modes of the Major Scale;2;Dorian;4;b;1;3;4;6;8;10;11;;C;D;Eb;F;G;A;Bb;;min;min;maj;maj;min;dim;maj;
14;2;C#;Modes of the Major Scale;2;Dorian;5;;2;4;5;7;9;11;12;;C#;D#;E;F#;G#;A#;B;;min;min;maj;maj;min;dim;maj;
15;3;D;Modes of the Major Scale;2;Dorian;6;b;3;5;6;8;10;12;1;;D;E;F;G;A;B;C;;min;min;maj;maj;min;dim;maj;
16;4;D#;Modes of the Major Scale;2;Dorian;7;;4;6;7;9;11;1;2;;D#;F;F#;G#;A#;C;C#;;min;min;maj;maj;min;dim;maj;
17;5;E;Modes of the Major Scale;2;Dorian;8;;5;7;8;10;12;2;3;;E;F#;G;A;B;C#;D;;min;min;maj;maj;min;dim;maj;
18;6;F;Modes of the Major Scale;2;Dorian;9;b;6;8;9;11;1;3;4;;F;G;Ab;Bb;C;D;Eb;;min;min;maj;maj;min;dim;maj;
19;7;F#;Modes of the Major Scale;2;Dorian;10;;7;9;10;12;2;4;5;;F#;G#;A;B;C#;D#;E;;min;min;maj;maj;min;dim;maj;
20;8;G;Modes of the Major Scale;2;Dorian;11;b;8;10;11;1;3;5;6;;G;A;Bb;C;D;E;F;;min;min;maj;maj;min;dim;maj;
21;9;G#;Modes of the Major Scale;2;Dorian;12;;9;11;12;2;4;6;7;;G#;A#;B;C#;D#;F;F#;;min;min;maj;maj;min;dim;maj;
